   4.4000000000000004                    (160.51485894653788,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   4.5000000000000000                    (160.51763125160721,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   4.6000000000000005                    (160.52046580616116,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   4.7000000000000002                    (160.52336260690203,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   4.8000000000000007                    (160.52632165046003,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   4.9000000000000004                    (160.52934293339320,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   5.0000000000000000                    (160.53242645218739,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   5.1000000000000005                    (160.53557220325641,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   5.2000000000000002                    (160.53878018294193,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   5.3000000000000007                    (160.54205038751360,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   5.4000000000000004                    (160.54538281316891,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   5.5000000000000000                    (160.54877745603343,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   5.6000000000000005                    (160.55223431216072,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   5.7000000000000002                    (160.55575337753223,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   5.8000000000000007                    (160.55933464805761,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   5.9000000000000004                    (160.56297811957450,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   6.0000000000000000                    (160.56668378784858,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   6.1000000000000005                    (160.57045164857374,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   6.2000000000000002                    (160.57428169737193,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   6.3000000000000007                    (160.57817392979331,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   6.4000000000000004                    (160.58212834131621,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   6.5000000000000000                    (160.58614492734719,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   6.6000000000000005                    (160.59022368322101,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   6.7000000000000002                    (160.59436460420071,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   6.8000000000000007                    (160.59856768547769,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   6.9000000000000004                    (160.60283292217156,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   7.0000000000000000                    (160.60716030933040,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   7.1000000000000005                    (160.61154984193058,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   7.2000000000000002                    (160.61600151487696,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   7.3000000000000007                    (160.62051532300273,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   7.4000000000000004                    (160.62509126106966,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   7.5000000000000000                    (160.62972932376795,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   7.6000000000000005                    (160.63442950571633,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   7.7000000000000002                    (160.63919180146218,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   7.8000000000000007                    (160.64401620548134,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   7.9000000000000004                    (160.64890271217837,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   8.0000000000000000                    (160.65385131588647,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   8.0999999999999996                    (160.65886201086747,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   8.2000000000000011                    (160.66393479131199,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   8.3000000000000007                    (160.66906965133941,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   8.4000000000000004                    (160.67426658499784,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   8.5000000000000000                    (160.67952558626428,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   8.5999999999999996                    (160.68484664904452,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   8.7000000000000011                    (160.69022976717332,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   8.8000000000000007                    (160.69567493441431,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   8.9000000000000004                    (160.70118214446012,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   9.0000000000000000                    (160.70675139093240,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   9.0999999999999996                    (160.71238266738177,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   9.2000000000000011                    (160.71807596728800,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   9.3000000000000007                    (160.72383128405991,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   9.4000000000000004                    (160.72964861103551,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   9.5000000000000000                    (160.73552794148205,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   9.6000000000000014                    (160.74146926859586,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
